AOI Statistics (for each user),,,,,,,,,,,
Text ID, AOI ID, AOI Name, User ID, User Name, User Gender, Time to 1st View (sec), Time Viewed (sec), Time Viewed (%), Fixations (#), Revisits (#), 
,,<s>,,,,,,,,,
1,1759, Playing,5, AD, F,6.156,0.096,0.188,1,0, 
1,1759, Playing,6, MG, M,2.188,0.176,0.291,1,0, 
1,1759, Playing,17, AH, F,-1,0,0,0,0, 
1,1759, Playing,18, KH, M,-1,0,0,0,0, 
1,1759, Playing,19, NG, F,5.063,0.192,0.393,1,0, 
1,1759, Playing,26, AT, M,-1,0,0,0,0, 
1,1759, Playing,31, AM, M,-1,0,0,0,0, 
1,1759, Playing,32, AC, F,21.625,0.144,0.626,1,1, 
1,1759, Playing,33, RE, M,-1,0,0,0,0, 
1,1760, Safe,5, AD, F,-1,0,0,0,0, 
1,1760, Safe,6, MG, M,-1,0,0,0,0, 
1,1760, Safe,17, AH, F,-1,0,0,0,0, 
1,1760, Safe,18, KH, M,-1,0,0,0,0, 
1,1760, Safe,19, NG, F,11.75,0.08,0.164,1,1, 
1,1760, Safe,26, AT, M,-1,0,0,0,0, 
1,1760, Safe,31, AM, M,-1,0,0,0,0, 
1,1760, Safe,32, AC, F,21.813,0.048,0.209,1,0, 
1,1760, Safe,33, RE, M,-1,0,0,0,0, 
,,</s>,,,,,,,,,
,,<s>,,,,,,,,,
1,1761, The,5, AD, F,9.203,0.176,0.345,1,1, 
1,1761, The,6, MG, M,8.031,0.368,0.609,1,0, 
1,1761, The,17, AH, F,-1,0,0,0,0, 
1,1761, The,18, KH, M,-1,0,0,0,0, 
1,1761, The,19, NG, F,4.938,0.048,0.098,1,0, 
1,1761, The,26, AT, M,-1,0,0,0,0, 
1,1761, The,31, AM, M,-1,0,0,0,0, 
1,1761, The,32, AC, F,-1,0,0,0,0, 
1,1761, The,33, RE, M,-1,0,0,0,0, 
1,1762, clock,5, AD, F,6.344,0.176,0.345,2,2, 
1,1762, clock,6, MG, M,7.813,0.24,0.397,1,0, 
1,1762, clock,17, AH, F,2.063,0.048,0.118,1,0, 
1,1762, clock,18, KH, M,-1,0,0,0,0, 
1,1762, clock,19, NG, F,6.75,0.192,0.393,2,1, 
1,1762, clock,26, AT, M,-1,0,0,0,0, 
1,1762, clock,31, AM, M,2.063,0.112,0.26,2,1, 
1,1762, clock,32, AC, F,-1,0,0,0,0, 
1,1762, clock,33, RE, M,-1,0,0,0,0, 
1,1763, shows,5, AD, F,2.781,0.512,1.005,2,1, 
1,1763, shows,6, MG, M,2.422,0.432,0.715,2,1, 
1,1763, shows,17, AH, F,6.688,0.08,0.197,1,0, 
1,1763, shows,18, KH, M,2.25,0.112,0.571,1,0, 
1,1763, shows,19, NG, F,5.313,1.28,2.622,5,6, 
1,1763, shows,26, AT, M,2.063,0.096,0.217,1,1, 
1,1763, shows,31, AM, M,2.063,0.32,0.742,2,2, 
1,1763, shows,32, AC, F,3.563,0.032,0.139,1,0, 
1,1763, shows,33, RE, M,25.563,0.032,0.058,1,0, 
1,1764, five,5, AD, F,3.313,0.096,0.188,2,1, 
1,1764, five,6, MG, M,2.813,0.032,0.053,1,0, 
1,1764, five,17, AH, F,6.625,0.064,0.158,1,0, 
1,1764, five,18, KH, M,-1,0,0,0,0, 
1,1764, five,19, NG, F,5.313,0.72,1.475,3,5, 
1,1764, five,26, AT, M,-1,0,0,0,0, 
1,1764, five,31, AM, M,-1,0,0,0,0, 
1,1764, five,32, AC, F,-1,0,0,0,0, 
1,1764, five,33, RE, M,-1,0,0,0,0, 
1,1765, seconds,5, AD, F,3.344,0.208,0.408,2,0, 
1,1765, seconds,6, MG, M,2.891,0.432,0.715,2,1, 
1,1765, seconds,17, AH, F,2.563,0.032,0.079,1,0, 
1,1765, seconds,18, KH, M,-1,0,0,0,0, 
1,1765, seconds,19, NG, F,7,0.272,0.557,3,2, 
1,1765, seconds,26, AT, M,2.438,0.224,0.506,1,0, 
1,1765, seconds,31, AM, M,2.813,0.336,0.779,3,3, 
1,1765, seconds,32, AC, F,21.938,0.08,0.348,1,0, 
1,1765, seconds,33, RE, M,-1,0,0,0,0, 
1,1766, left,5, AD, F,3.672,0.736,1.444,3,1, 
1,1766, left,6, MG, M,3.578,0.096,0.159,1,0, 
1,1766, left,17, AH, F,2.406,0.176,0.434,1,2, 
1,1766, left,18, KH, M,2.563,0.096,0.489,1,0, 
1,1766, left,19, NG, F,14.875,0.016,0.033,1,0, 
1,1766, left,26, AT, M,-1,0,0,0,0, 
1,1766, left,31, AM, M,3.438,0.064,0.148,1,0, 
1,1766, left,32, AC, F,22.063,0.032,0.139,1,0, 
1,1766, left,33, RE, M,16.516,0.016,0.029,1,0, 
1,1767, in,5, AD, F,18.438,0.16,0.314,1,0, 
1,1767, in,6, MG, M,3.469,0.224,0.371,3,4, 
1,1767, in,17, AH, F,-1,0,0,0,0, 
1,1767, in,18, KH, M,2.625,0.064,0.326,1,0, 
1,1767, in,19, NG, F,-1,0,0,0,0, 
1,1767, in,26, AT, M,6.563,0.288,0.651,1,0, 
1,1767, in,31, AM, M,3.563,0.16,0.371,1,0, 
1,1767, in,32, AC, F,-1,0,0,0,0, 
1,1767, in,33, RE, M,16.531,0.064,0.116,1,0, 
1,1768, the,5, AD, F,-1,0,0,0,0, 
1,1768, the,6, MG, M,10.594,0.016,0.026,1,0, 
1,1768, the,17, AH, F,7.5,0.096,0.237,1,0, 
1,1768, the,18, KH, M,2.688,0.016,0.082,1,0, 
1,1768, the,19, NG, F,-1,0,0,0,0, 
1,1768, the,26, AT, M,2.938,0.064,0.145,2,1, 
1,1768, the,31, AM, M,3.688,0.384,0.89,1,1, 
1,1768, the,32, AC, F,-1,0,0,0,0, 
1,1768, the,33, RE, M,5.227,0.016,0.029,1,0, 
1,1769, game,5, AD, F,4.828,0.352,0.691,3,2, 
1,1769, game,6, MG, M,-1,0,0,0,0, 
1,1769, game,17, AH, F,2.813,0.048,0.118,2,1, 
1,1769, game,18, KH, M,2.75,0.368,1.875,2,1, 
1,1769, game,19, NG, F,-1,0,0,0,0, 
1,1769, game,26, AT, M,7,0.096,0.217,1,1, 
1,1769, game,31, AM, M,4.25,0.384,0.89,2,2, 
1,1769, game,32, AC, F,4.25,0.016,0.07,1,0, 
1,1769, game,33, RE, M,5.195,0.144,0.262,3,2, 
,,</s>,,,,,,,,,
,,<s>,,,,,,,,,
1,1770, Your,5, AD, F,4.984,0.352,0.691,2,1, 
1,1770, Your,6, MG, M,11.734,0.112,0.185,1,0, 
1,1770, Your,17, AH, F,2.844,0.08,0.197,2,1, 
1,1770, Your,18, KH, M,3,0.064,0.326,2,1, 
1,1770, Your,19, NG, F,-1,0,0,0,0, 
1,1770, Your,26, AT, M,3.5,0.176,0.398,2,2, 
1,1770, Your,31, AM, M,4.563,0.288,0.668,2,2, 
1,1770, Your,32, AC, F,4.438,0.032,0.139,1,0, 
1,1770, Your,33, RE, M,5.164,0.16,0.291,3,2, 
1,1771, team,5, AD, F,11.984,0.064,0.126,1,0, 
1,1771, team,6, MG, M,11.891,0.192,0.318,2,1, 
1,1771, team,17, AH, F,2.875,0.56,1.381,3,2, 
1,1771, team,18, KH, M,-1,0,0,0,0, 
1,1771, team,19, NG, F,12.813,0.16,0.328,4,3, 
1,1771, team,26, AT, M,3.688,0.384,0.868,2,1, 
1,1771, team,31, AM, M,4.563,0.48,1.113,2,1, 
1,1771, team,32, AC, F,-1,0,0,0,0, 
1,1771, team,33, RE, M,5.148,0.08,0.145,3,2, 
1,1772, is,5, AD, F,11.922,0.064,0.126,1,0, 
1,1772, is,6, MG, M,-1,0,0,0,0, 
1,1772, is,17, AH, F,3,0.048,0.118,2,1, 
1,1772, is,18, KH, M,6,0.032,0.163,1,0, 
1,1772, is,19, NG, F,8.625,0.56,1.147,7,5, 
1,1772, is,26, AT, M,3.75,0.128,0.289,2,2, 
1,1772, is,31, AM, M,10.438,0.032,0.074,1,1, 
1,1772, is,32, AC, F,4.563,0.016,0.07,1,0, 
1,1772, is,33, RE, M,3.633,0.24,0.436,4,3, 
1,1773, losing,5, AD, F,6.797,0.08,0.157,2,1, 
1,1773, losing,6, MG, M,5.531,0.016,0.026,1,0, 
1,1773, losing,17, AH, F,3.5,0.8,1.972,3,1, 
1,1773, losing,18, KH, M,3.063,0.176,0.897,2,1, 
1,1773, losing,19, NG, F,3,0.672,1.377,8,7, 
1,1773, losing,26, AT, M,3.813,0.352,0.795,1,1, 
1,1773, losing,31, AM, M,4.938,0.496,1.15,2,1, 
1,1773, losing,32, AC, F,2.063,0.352,1.53,2,2, 
1,1773, losing,33, RE, M,3.648,0.336,0.61,3,3, 
1,1774, by,5, AD, F,5.906,0.144,0.283,1,0, 
1,1774, by,6, MG, M,-1,0,0,0,0, 
1,1774, by,17, AH, F,-1,0,0,0,0, 
1,1774, by,18, KH, M,3.188,0.064,0.326,2,1, 
1,1774, by,19, NG, F,3.25,0.16,0.328,2,1, 
1,1774, by,26, AT, M,-1,0,0,0,0, 
1,1774, by,31, AM, M,5.5,0.048,0.111,1,0, 
1,1774, by,32, AC, F,2.125,0.064,0.278,1,1, 
1,1774, by,33, RE, M,4.211,0.112,0.203,3,2, 
1,1775, just,5, AD, F,5.734,0.176,0.345,1,0, 
1,1775, just,6, MG, M,6.859,0.016,0.026,1,0, 
1,1775, just,17, AH, F,-1,0,0,0,0, 
1,1775, just,18, KH, M,3.25,0.032,0.163,1,0, 
1,1775, just,19, NG, F,6.625,0.016,0.033,1,0, 
1,1775, just,26, AT, M,-1,0,0,0,0, 
1,1775, just,31, AM, M,5.625,0.096,0.223,1,0, 
1,1775, just,32, AC, F,2.625,0.08,0.348,1,0, 
1,1775, just,33, RE, M,5.969,0.112,0.203,2,2, 
1,1776, one,5, AD, F,-1,0,0,0,0, 
1,1776, one,6, MG, M,6.875,0.032,0.053,1,0, 
1,1776, one,17, AH, F,-1,0,0,0,0, 
1,1776, one,18, KH, M,-1,0,0,0,0, 
1,1776, one,19, NG, F,13.625,0.192,0.393,1,0, 
1,1776, one,26, AT, M,-1,0,0,0,0, 
1,1776, one,31, AM, M,5.813,0.464,1.076,1,0, 
1,1776, one,32, AC, F,2.5,0.4,1.739,1,1, 
1,1776, one,33, RE, M,-1,0,0,0,0, 
1,1777, goal,5, AD, F,-1,0,0,0,0, 
1,1777, goal,6, MG, M,6.906,0.128,0.212,1,0, 
1,1777, goal,17, AH, F,5.5,0.016,0.039,1,0, 
1,1777, goal,18, KH, M,3.313,0.256,1.304,1,0, 
1,1777, goal,19, NG, F,6.563,0.112,0.229,3,2, 
1,1777, goal,26, AT, M,-1,0,0,0,0, 
1,1777, goal,31, AM, M,6.25,0.048,0.111,1,0, 
1,1777, goal,32, AC, F,-1,0,0,0,0, 
1,1777, goal,33, RE, M,11.305,0.032,0.058,1,0, 
,,</s>,,,,,,,,,
,,<s>,,,,,,,,,
1,1778, You,5, AD, F,7.484,0.16,0.314,1,1, 
1,1778, You,6, MG, M,-1,0,0,0,0, 
1,1778, You,17, AH, F,-1,0,0,0,0, 
1,1778, You,18, KH, M,-1,0,0,0,0, 
1,1778, You,19, NG, F,6.25,0.064,0.131,2,1, 
1,1778, You,26, AT, M,-1,0,0,0,0, 
1,1778, You,31, AM, M,6.375,0.032,0.074,1,0, 
1,1778, You,32, AC, F,-1,0,0,0,0, 
1,1778, You,33, RE, M,-1,0,0,0,0, 
1,1779, want,5, AD, F,7.531,0.032,0.063,1,0, 
1,1779, want,6, MG, M,-1,0,0,0,0, 
1,1779, want,17, AH, F,5.625,0.064,0.158,1,0, 
1,1779, want,18, KH, M,-1,0,0,0,0, 
1,1779, want,19, NG, F,6.313,0.16,0.328,2,1, 
1,1779, want,26, AT, M,-1,0,0,0,0, 
1,1779, want,31, AM, M,-1,0,0,0,0, 
1,1779, want,32, AC, F,3.438,0.016,0.07,1,0, 
1,1779, want,33, RE, M,-1,0,0,0,0, 
1,1780, to,5, AD, F,-1,0,0,0,0, 
1,1780, to,6, MG, M,-1,0,0,0,0, 
1,1780, to,17, AH, F,-1,0,0,0,0, 
1,1780, to,18, KH, M,-1,0,0,0,0, 
1,1780, to,19, NG, F,6.5,0.016,0.033,1,0, 
1,1780, to,26, AT, M,-1,0,0,0,0, 
1,1780, to,31, AM, M,-1,0,0,0,0, 
1,1780, to,32, AC, F,3.125,0.24,1.043,1,1, 
1,1780, to,33, RE, M,-1,0,0,0,0, 
1,1781, take,5, AD, F,-1,0,0,0,0, 
1,1781, take,6, MG, M,-1,0,0,0,0, 
1,1781, take,17, AH, F,-1,0,0,0,0, 
1,1781, take,18, KH, M,-1,0,0,0,0, 
1,1781, take,19, NG, F,-1,0,0,0,0, 
1,1781, take,26, AT, M,-1,0,0,0,0, 
1,1781, take,31, AM, M,-1,0,0,0,0, 
1,1781, take,32, AC, F,-1,0,0,0,0, 
1,1781, take,33, RE, M,-1,0,0,0,0, 
1,1782, the,5, AD, F,2.078,0.32,0.628,3,3, 
1,1782, the,6, MG, M,15.234,0.064,0.106,1,0, 
1,1782, the,17, AH, F,-1,0,0,0,0, 
1,1782, the,18, KH, M,-1,0,0,0,0, 
1,1782, the,19, NG, F,-1,0,0,0,0, 
1,1782, the,26, AT, M,-1,0,0,0,0, 
1,1782, the,31, AM, M,-1,0,0,0,0, 
1,1782, the,32, AC, F,5.563,0.016,0.07,1,0, 
1,1782, the,33, RE, M,-1,0,0,0,0, 
1,1783, bait,5, AD, F,2.406,0.192,0.377,3,3, 
1,1783, bait,6, MG, M,15,0.128,0.212,2,1, 
1,1783, bait,17, AH, F,-1,0,0,0,0, 
1,1783, bait,18, KH, M,-1,0,0,0,0, 
1,1783, bait,19, NG, F,10.563,0.032,0.066,1,0, 
1,1783, bait,26, AT, M,5.813,0.24,0.542,2,3, 
1,1783, bait,31, AM, M,7.125,0.272,0.631,2,2, 
1,1783, bait,32, AC, F,-1,0,0,0,0, 
1,1783, bait,33, RE, M,-1,0,0,0,0, 
1,1784, and,5, AD, F,2.609,0.16,0.314,3,3, 
1,1784, and,6, MG, M,8.531,0.144,0.238,2,2, 
1,1784, and,17, AH, F,6.813,0.208,0.513,2,2, 
1,1784, and,18, KH, M,4.25,0.016,0.082,1,0, 
1,1784, and,19, NG, F,10.563,0.4,0.819,2,2, 
1,1784, and,26, AT, M,5.688,0.272,0.615,4,4, 
1,1784, and,31, AM, M,7.688,0.064,0.148,1,0, 
1,1784, and,32, AC, F,3.688,0.224,0.974,2,1, 
1,1784, and,33, RE, M,12.453,0.224,0.407,1,1, 
1,1785, score,5, AD, F,9.828,0.112,0.22,2,3, 
1,1785, score,6, MG, M,4.016,0.544,0.9,4,3, 
1,1785, score,17, AH, F,7,0.144,0.355,3,2, 
1,1785, score,18, KH, M,2.375,0.224,1.141,2,1, 
1,1785, score,19, NG, F,16.875,0.048,0.098,1,0, 
1,1785, score,26, AT, M,2.188,0.24,0.542,4,3, 
1,1785, score,31, AM, M,2.563,0.304,0.705,2,1, 
1,1785, score,32, AC, F,3.563,0.08,0.348,2,2, 
1,1785, score,33, RE, M,5.344,0.096,0.174,3,2, 
1,1786, a,5, AD, F,14.172,0.16,0.314,1,0, 
1,1786, a,6, MG, M,3.859,0.384,0.635,3,3, 
1,1786, a,17, AH, F,7.063,0.064,0.158,2,1, 
1,1786, a,18, KH, M,4.75,0.288,1.468,1,0, 
1,1786, a,19, NG, F,17,0.128,0.262,1,0, 
1,1786, a,26, AT, M,6.188,0.096,0.217,1,0, 
1,1786, a,31, AM, M,2.813,0.032,0.074,1,0, 
1,1786, a,32, AC, F,4,0.064,0.278,2,1, 
1,1786, a,33, RE, M,12.867,0.24,0.436,2,1, 
1,1787, goal,5, AD, F,10.891,0.144,0.283,2,1, 
1,1787, goal,6, MG, M,9.031,0.368,0.609,3,2, 
1,1787, goal,17, AH, F,9.625,0.064,0.158,1,0, 
1,1787, goal,18, KH, M,-1,0,0,0,0, 
1,1787, goal,19, NG, F,17.125,0.096,0.197,1,0, 
1,1787, goal,26, AT, M,2.313,0.24,0.542,2,1, 
1,1787, goal,31, AM, M,8.25,0.08,0.186,1,0, 
1,1787, goal,32, AC, F,4.063,0.096,0.417,2,1, 
1,1787, goal,33, RE, M,-1,0,0,0,0, 
,,</s>,,,,,,,,,
,,<s>,,,,,,,,,
1,1788, But,5, AD, F,10.031,0.736,1.444,5,5, 
1,1788, But,6, MG, M,10.141,0.096,0.159,2,2, 
1,1788, But,17, AH, F,2.438,0.16,0.394,2,1, 
1,1788, But,18, KH, M,2.5,0.048,0.245,1,0, 
1,1788, But,19, NG, F,-1,0,0,0,0, 
1,1788, But,26, AT, M,2.625,0.048,0.108,2,1, 
1,1788, But,31, AM, M,-1,0,0,0,0, 
1,1788, But,32, AC, F,4.063,0.08,0.348,2,1, 
1,1788, But,33, RE, M,4.391,0.288,0.523,3,6, 
1,1789, you,5, AD, F,10.219,1.12,2.198,5,4, 
1,1789, you,6, MG, M,3.266,0.256,0.424,3,3, 
1,1789, you,17, AH, F,9.844,0.048,0.118,1,0, 
1,1789, you,18, KH, M,7.563,0.112,0.571,1,0, 
1,1789, you,19, NG, F,7.563,0.096,0.197,1,0, 
1,1789, you,26, AT, M,11.188,0.24,0.542,1,0, 
1,1789, you,31, AM, M,8.5,0.112,0.26,1,1, 
1,1789, you,32, AC, F,4.125,0.048,0.209,1,0, 
1,1789, you,33, RE, M,4.422,0.208,0.378,2,2, 
1,1790, are,5, AD, F,11.219,0.224,0.44,4,3, 
1,1790, are,6, MG, M,3.406,0.144,0.238,2,2, 
1,1790, are,17, AH, F,9.875,0.144,0.355,2,1, 
1,1790, are,18, KH, M,5.313,0.016,0.082,1,0, 
1,1790, are,19, NG, F,7.688,0.496,1.016,3,3, 
1,1790, are,26, AT, M,2.938,0.512,1.157,3,4, 
1,1790, are,31, AM, M,-1,0,0,0,0, 
1,1790, are,32, AC, F,-1,0,0,0,0, 
1,1790, are,33, RE, M,18.844,0.032,0.058,1,0, 
1,1791, cheering,5, AD, F,11.281,0.24,0.471,4,2, 
1,1791, cheering,6, MG, M,4.938,0.608,1.006,4,2, 
1,1791, cheering,17, AH, F,7.313,0.176,0.434,4,3, 
1,1791, cheering,18, KH, M,-1,0,0,0,0, 
1,1791, cheering,19, NG, F,7.813,0.256,0.524,3,2, 
1,1791, cheering,26, AT, M,3.5,0.816,1.844,5,6, 
1,1791, cheering,31, AM, M,4.188,0.368,0.853,4,3, 
1,1791, cheering,32, AC, F,4.188,0.304,1.322,2,2, 
1,1791, cheering,33, RE, M,5.164,0.352,0.639,4,3, 
1,1792, from,5, AD, F,11.531,0.256,0.502,2,1, 
1,1792, from,6, MG, M,5,0.672,1.112,4,4, 
1,1792, from,17, AH, F,4.313,0.016,0.039,1,0, 
1,1792, from,18, KH, M,7.813,0.032,0.163,1,0, 
1,1792, from,19, NG, F,7.938,0.096,0.197,1,0, 
1,1792, from,26, AT, M,7.375,0.064,0.145,1,0, 
1,1792, from,31, AM, M,9.938,0.112,0.26,3,2, 
1,1792, from,32, AC, F,-1,0,0,0,0, 
1,1792, from,33, RE, M,5.063,0.256,0.465,4,3, 
1,1793, the,5, AD, F,11.75,0.048,0.094,3,2, 
1,1793, the,6, MG, M,5.609,0.368,0.609,3,2, 
1,1793, the,17, AH, F,3.031,0.048,0.118,2,1, 
1,1793, the,18, KH, M,7.875,0.048,0.245,1,0, 
1,1793, the,19, NG, F,8.5,0.224,0.459,2,2, 
1,1793, the,26, AT, M,-1,0,0,0,0, 
1,1793, the,31, AM, M,10.438,0.144,0.334,3,2, 
1,1793, the,32, AC, F,4.5,0.016,0.07,1,0, 
1,1793, the,33, RE, M,3.5,0.32,0.581,6,5, 
1,1794, sidelines,5, AD, F,11.828,0.08,0.157,1,0, 
1,1794, sidelines,6, MG, M,5.547,0.048,0.079,2,1, 
1,1794, sidelines,17, AH, F,10.469,0.016,0.039,1,0, 
1,1794, sidelines,18, KH, M,7.938,0.048,0.245,1,0, 
1,1794, sidelines,19, NG, F,3.188,0.768,1.573,8,7, 
1,1794, sidelines,26, AT, M,8.375,0.272,0.615,2,1, 
1,1794, sidelines,31, AM, M,5.438,0.272,0.631,3,4, 
1,1794, sidelines,32, AC, F,4.625,0.096,0.417,2,1, 
1,1794, sidelines,33, RE, M,3.75,0.512,0.93,6,6, 
1,1795, because,5, AD, F,12.484,0.128,0.251,1,0, 
1,1795, because,6, MG, M,6.016,0.416,0.688,2,1, 
1,1795, because,17, AH, F,4.563,0.96,2.367,2,2, 
1,1795, because,18, KH, M,6.188,0.16,0.815,3,1, 
1,1795, because,19, NG, F,3.75,0.624,1.278,4,3, 
1,1795, because,26, AT, M,4.25,0.624,1.41,2,1, 
1,1795, because,31, AM, M,5.625,0.064,0.148,1,0, 
1,1795, because,32, AC, F,2.5,0.304,1.322,5,3, 
1,1795, because,33, RE, M,2.531,0.56,1.017,6,5, 
1,1796, you,5, AD, F,12.609,0.08,0.157,1,0, 
1,1796, you,6, MG, M,13.5,0.096,0.159,2,1, 
1,1796, you,17, AH, F,8.156,0.192,0.473,2,1, 
1,1796, you,18, KH, M,6.313,0.064,0.326,1,0, 
1,1796, you,19, NG, F,9.125,0.304,0.623,3,3, 
1,1796, you,26, AT, M,4.75,0.144,0.325,2,1, 
1,1796, you,31, AM, M,-1,0,0,0,0, 
1,1796, you,32, AC, F,4.75,0.08,0.348,3,2, 
1,1796, you,33, RE, M,2.516,0.208,0.378,3,2, 
1,1797, injured,5, AD, F,7.719,0.032,0.063,1,0, 
1,1797, injured,6, MG, M,7.219,0.272,0.45,2,1, 
1,1797, injured,17, AH, F,5.5,0.144,0.355,3,2, 
1,1797, injured,18, KH, M,6.375,0.064,0.326,1,0, 
1,1797, injured,19, NG, F,4.313,0.4,0.819,5,5, 
1,1797, injured,26, AT, M,4.875,0.224,0.506,1,0, 
1,1797, injured,31, AM, M,6.375,0.432,1.002,2,1, 
1,1797, injured,32, AC, F,4.813,0.272,1.183,2,1, 
1,1797, injured,33, RE, M,11.039,0.08,0.145,2,1, 
1,1798, your,5, AD, F,-1,0,0,0,0, 
1,1798, your,6, MG, M,7.563,0.112,0.185,1,0, 
1,1798, your,17, AH, F,5.75,0.336,0.828,1,0, 
1,1798, your,18, KH, M,6.5,0.064,0.326,1,0, 
1,1798, your,19, NG, F,4.438,0.24,0.492,4,3, 
1,1798, your,26, AT, M,5.438,0.016,0.036,1,0, 
1,1798, your,31, AM, M,7,0.208,0.482,2,2, 
1,1798, your,32, AC, F,6.625,0.016,0.07,1,0, 
1,1798, your,33, RE, M,-1,0,0,0,0, 
1,1799, leg,5, AD, F,-1,0,0,0,0, 
1,1799, leg,6, MG, M,-1,0,0,0,0, 
1,1799, leg,17, AH, F,-1,0,0,0,0, 
1,1799, leg,18, KH, M,6.563,0.112,0.571,2,1, 
1,1799, leg,19, NG, F,4.625,0.016,0.033,1,0, 
1,1799, leg,26, AT, M,5.125,0.272,0.615,1,0, 
